Taxa;ho3384;nh2118;ni0665;ni8189;nl7187;nn0966;no1740;nq3967;nq5400;nr5193;nt5910;nu0687;nu9969;nv7285;nv8762;ob4811;ob4860;oc0909;oc9785;od3399;of7414;og2901;oh3122;oh7156;oj7527;ok1999;ok6402;ol8811;om2144;om2763;om3324;om9255;om9313;on2945;on9775;oo5194;oo9790;os0506;os8566;ot4853;ou2004;ou9249;ox1581;ox6960;ox7729;oy8593;oz3346;oz6471;pa4637;pa6483;pb7910;pb9866;pd7678;ph1503;ph8318;pk4172;pk6045;pk7308;wp3927;wq5251;wr8031;wt7239;wt9623;wu1289;wu1636;wu6007;wv0777;wv2773;wv7822;wx2334;wy2804;wz0104;xa2543;xa7120;xb2260;xb9489;xc8845;xg6068;xk0827;xk4530;xk7699;xl4463;xl5106;xl7086;xm9487;xn1582;xo3595;xo3728;xo4734;ye6753
Eubacterium_AVS2;14;0;0;0;0;0;22;0;0;0;25;57;0;39;3;0;26;0;0;41;0;0;0;4;68;0;0;46;0;0;17;0;0;0;44;0;0;0;23;0;0;0;0;0;0;0;0;41;0;15;6;0;5;0;0;34;390;0;0;0;0;0;17;8;0;0;7;36;0;0;0;5;28;0;0;0;2;103;0;5;0;0;5;0;6;0;0;0;0;0
Holdemania;0;0;3;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;3;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0
Solobacterium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Turicibacter;0;0;0;0;28;0;0;0;0;0;0;22;0;0;0;0;0;0;4;0;9;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;157;0;6;0;66;0;0;0;0;0;0;0;36;0;5;0;0;22;0;4;0;0;0;47;0;0;0;7;6;6;0;0;0;0;5;0;0;0;0;0;0;0;4;0;5;0;0;0;0;0;0;0;0;0
Erysipelotrichaceae_unclassified_ANS1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;5;0;0;0;0;0;0;0;0
Erysipelotrichaceae_unclassified_AVS2;0;32;11;0;132;15;50;1582;22;10;22;8;0;7;203;20;51;0;6;20;2;0;233;0;0;20;0;94;59;235;33;121;27;37;12;32;16;6;0;12;0;262;4;539;124;262;0;21;5;47;227;26;11;63;3;140;0;1245;45;0;42;165;41;9;161;11;69;10;4;0;0;30;56;28;16;15;9;148;0;0;0;0;7;6;210;0;3;19;0;0
Acidaminococcus;0;0;0;6;0;14;0;0;0;0;0;0;0;212;0;0;0;0;0;9;0;0;0;0;7;3;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;8;0;0;0;5;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;15;0;0;0;0;10;0;0;0;0;0;0
Phascolarctobacterium;77;272;0;0;98;42;83;43;10;37;0;66;0;0;0;282;0;56;173;0;43;0;30;25;26;0;0;10;370;0;38;0;0;0;128;99;0;311;36;202;0;0;0;377;0;105;0;138;0;25;38;0;127;9;0;6;10;0;44;0;105;16;0;36;0;0;418;155;0;98;0;0;0;0;34;318;27;84;154;279;31;0;7;31;65;37;286;88;14;0
Allisonella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
Dialister;0;155;5;184;921;0;0;0;35;0;670;0;52;610;16;0;0;0;0;57;336;218;0;0;7;107;52;109;0;78;11;65;31;184;74;0;167;0;0;0;136;5;71;0;677;0;22;80;46;268;17;0;403;124;0;132;33;54;0;113;0;1663;0;0;3;203;0;0;18;0;18;33;0;7;0;0;0;0;0;0;0;39;148;78;0;0;0;23;309;4
Megamonas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0
Megasphaera;0;0;0;0;0;96;21;0;0;0;0;103;0;523;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;355;0;0;24;0;40;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;20;0;11;0;17;0;0;9;0
Mitsuokella;0;0;0;0;0;0;0;0;0;0;0;13;0;1656;0;0;0;0;0;13;0;0;0;0;0;0;0;22;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Veillonella;0;6;0;24;14;17;0;5;0;0;0;0;14;0;8;11;0;0;6;0;27;5;6;0;0;12;0;0;0;0;0;0;0;11;4;4;31;0;12;171;0;0;0;0;0;40;0;0;0;0;0;0;9;0;0;0;0;14;0;8;4;0;7;11;0;0;25;16;0;0;0;44;0;0;8;0;0;13;0;0;20;0;0;0;0;0;0;0;0;0
